n_id,nbName,nwName,nbyear,enter
226,타임 이펙트 :세상에서 가장 완벽한 시간 여행,구가 가쓰토시 지음,2021,20221027
227,케미스토리 :일상에서 만나는 화학에 대한 오해와 진실 =Chemistory,강상욱 지음,2021,20221027
228,지적자본론 :모든 사람이 디자이너가 되는 미래,마스다 무네아키 지음,2021,20221027
229,지오포이트리 :한 권으로 읽는 지구과학의 정수 =Geo poetry,좌용주 지음,2021,20221027
230,저도 과학은 어렵습니다만 :털보 과학관장과 함께라면 온 세상이 과학 : 큰글자책 [큰글자도서] .2,이정모 지음,2021,20221027
231,일상 속 숨어 있는 생물학 이야기 :유전자부터 백신까지 식물에서 동물까지 생물학 상식 50,사마키 다케오,2021,20221027
232,우주 연대기 :우주 사용 설명서,프레드 왓슨 지음,2021,20221027
233,친절한 트렌드 뒷담화 :마케팅 전문가들이 주목한 라이프스타일 인사이트,이노션 인사이트그룹 지음,2021,20221027
234,우리 바다가 품은 온갖 이야기 :바다낚시와 물고기 그리고 서식 환경,양찬수,2021,20221027
235,Cardiff by the sea :four novellas of suspense,[by] Joyce Carol Oats,2020,20221026
236,Ride :cycle the world,[by] DK Eyewitness,2021,20221026
237,Korea :a history,[by] Eugene Y. Park,2022,20221026
238,100 things to do in Toledo before you die,[by] Tedd Long,2021,20221026
239,Writing about movies,[by] Karen Gocsik,2019,20221026
240,Vacations like this,[by] Carina Taylor,2021,20221026
241,Unlimited,[by] Kevin Miller,2017,20221026
242,(The) wrong end of the telescope,[by] Rabih Alameddine,2021,20221026
243,(The) waters of Siloe,[by] Tomas Merton,2017,20221026
244,(The) robber bridegroom,[by] Eudora Welty,2017,20221026
245,(The) Paris apartment,[by] Lucy Foley,2022,20221026
246,(The) Kaiju Preservation Society,[by] John Scalzi,2022,20221026
247,(The) girl who escaped from Auschwitz,[by] Ellie Midwood,2021,20221026
248,(The) complete poems of Ralph Waldo Emerson,[by] Ralph Waldo Emerson,2016,20221026
249,(The)  adventures of Augie March,[by] Saul Bellow,2006,20221026
250,Snowbound!,[by] Kevin Miller,2020,20221026
251,Parable of the sower,[by] Octavia E. Butler,2019,20221026
252,My name is Anton,[by] Catherine Ryan Hyde,2020,20221026
253,마가가 전하는 예수 이야기,베르너 H. 켈버 지음,2019,20221026
254,Lost in the clouds,[by] Tom Tinn-Disbury,2021,20221026
255,Henderson the rain king,[by] Saul Bellow,2013,20221026
256,Heir of divinity :a legend of levnar novel,[by] Kenneth Collins,2020,20221026
257,Collected stories,[by] Saul Bellow,2013,20221026
258,Brideshead revisited :the sacred and profane memories of Captain Charles Ryder,[by] Evelyn Waugh,2021,20221026
259,Bell hammers :the true folk tale of Little Egypt,[by] Lancelot Schaubert,2020,20221026
260,Bear necessity,[by] James Gould-bourn,2020,20221026
261,(The) great book of American idioms :a dictionary of American idioms sayings expressions & phrases,[by] Lingo Mastery,2019,20221026
262,Your upper body your yoga :including asymmetries & proportions of the whole body,[by] Bernie Clark,2022,20221026
263,땅은 잘못 없다 :신민재 건축가의 얇은 집 탐사,신민재 지음,2022,20221026
264,아주 정상적인 아픈 사람들,폴 김,2022,20221026
265,(The) moral economy :why good incentives are no substitute for good citizens,[by] Samuel Bowles,2016,20221026
266,(The) hidden face of rights :toward a politics of responsibilities,[by] Kathryn Sikkink,2020,20221026
267,(그래도 다시 일어서 손잡아주는) 언니들이 있다 :김지은 인터뷰집,김지은 지음,2019,20221026
268,Leadership and self-deception :getting out of the box,[by] The Arbinger Institute,2018,20221026
269,(A) year of positive thinking :daily inspiration wisdom and courage,[by] Cyndie Spiegel,2018,20221026
270,(최강왕) 신비한 우주 슈퍼 대백과,레커사 편저,2019,20221026
271,I can handle it! :mindful mantras .2,by Laurie Wright,2019,20221026
272,Run for fun and personal bests :a recipe for long-term growth and success,[by] Al Carius,2022,20221026
273,(A) year of self-care :daily practices and inspiration for caring for yourself,{by] Zoe Shaw,2021,20221026
274,Dancing is the best medicine :the science of how moving to a beat is good for body brain and soul,Julia F. Christensen,2018,20221026
275,Architecture :a visual history,[by] Jonathan Glancey,2017,20221026
276,(The) wok :recipes and techniques,[by] J. Kenji L?pez-Alt,2022,20221026
277,(The) lazy genius kitchen :have what you need use what you have and enjoy it like never before,[by] Kendra Adachi,2022,20221026
278,Population health epidemiology and public health :management skills for creating healthy communities,[by] Rosemary M. Caron,2022,20221026
279,Care after covid :what the pandemic revealed is broken in healthcare and how to reinvent it,[by] Shantanu Nundy,2021,20221026
280,(A) shot to save the world :the inside story of the life-or-death race for a Covid-19 vaccine,[by] Gregory Zuckerman,2021,20221026
281,Braiding sweetgrass :indigenous wisdom scientific knowledge and the teachings of plants,[by] Robin Wall Kimmerer,2020,20221026
282,핸즈온 데이터 시각화 :효과적인 데이터 시각화 전략부터 20가지 시각화 도구 사용법까지,잭 도허티,2022,20221026
